Key,Continente,Funzione,a2020s5,a2020s6,a2020s7,a2020s8,a2020s9,a2020s10,a2020s11,a2020s12,a2020s13,a2020s14,a2020s15,a2020s16,a2020s17,a2020s18,a2020s19,a2020s20,a2020s21
AAAAfrica,Africa,MAX_WEEK,0.0,0.0,1.0,0.0,1.0,39.0,67.0,193.0,442.0,707.0,672.0,1055.0,1301.0,1826.0,3139.0,2595.0,4018.0
AAAEurope,Europe,MAX_WEEK,6.0,5.0,5.0,93.0,738.0,2513.0,11358.0,21166.0,35889.0,36160.0,50289.0,39393.0,24090.0,17320.0,18237.0,12521.0,11218.0
AAAAsia,Asia,MAX_WEEK,4034.0,3175.0,14852.0,1821.0,1582.0,2007.0,1847.0,2868.0,7096.0,9071.0,11612.0,12772.0,14004.0,13204.0,17392.0,20059.0,24408.0
AAAAmerica,America,MAX_WEEK,6.0,3.0,1.0,3.0,37.0,151.0,930.0,9212.0,22299.0,36529.0,41201.0,40628.0,56950.0,49591.0,46339.0,55234.0,59554.0
AAAOceania,Oceania,MAX_WEEK,5.0,1.0,0.0,0.0,7.0,12.0,57.0,447.0,476.0,401.0,161.0,48.0,24.0,23.0,26.0,31.0,15.0
IIIOceania,Oceania,DEV_WEEK,1.9166297,0.49487165,0.0,0.0,2.3819046,4.0657854,20.218197,129.23038,119.8797,66.08745,40.22792,6.1611023,5.205962,5.699982,6.243364,7.690439,4.686063
IIIAmerica,America,DEV_WEEK,2.1852942,1.1248583,0.45175394,1.0497813,11.866606,49.18686,258.85446,2912.0654,4324.1406,4214.7344,3247.3518,3629.175,7586.415,5139.571,4009.6846,7811.67,4377.612
IIIAsia,Asia,DEV_WEEK,1155.3173,341.45728,4726.021,688.06726,372.4613,313.42798,357.53122,417.73358,1595.1068,718.52374,898.2814,691.5843,874.35754,787.37103,1264.5626,1356.554,1355.3529
IIIEurope,Europe,DEV_WEEK,1.905952,1.6413037,1.6659863,32.516872,208.5953,704.1893,3017.8813,4078.0405,4592.8394,2537.2246,7666.9146,6041.6143,4265.262,1841.5907,2550.0806,1163.7637,1440.7277
IIIAfrica,Africa,DEV_WEEK,0.0,0.0,0.3499271,0.0,0.49487165,12.732732,22.102728,42.44901,83.03331,121.690475,84.28136,180.50632,170.51602,214.28381,463.78363,171.63155,399.38968
RRROceania,Oceania,AVG_WEEK,1.4285715,0.42857143,0.0,0.0,1.4285715,6.571429,27.285715,160.71428,335.0,275.85715,111.0,42.42857,16.428572,16.285715,18.142857,15.0,8.428572
RRRAmerica,America,AVG_WEEK,1.7142857,0.85714287,0.2857143,0.5714286,12.571428,77.71429,518.7143,5012.143,17285.285,31733.715,36789.57,36129.43,40746.43,41667.57,42112.57,44987.285,54503.43
RRRAsia,Asia,AVG_WEEK,1611.5714,2647.2856,4094.4285,949.0,1028.0,1516.4286,1494.0,2159.2856,5393.857,8374.857,10427.429,11881.429,12513.0,12096.429,15336.714,18062.143,22528.285
RRREurope,Europe,AVG_WEEK,3.2857144,1.8571428,1.2857143,21.714285,286.0,1415.2858,6036.0,16168.0,30221.857,33174.43,33353.285,27175.715,18610.285,15185.0,13661.571,10570.714,8610.857
RRRAfrica,Africa,AVG_WEEK,0.0,0.0,0.14285715,0.0,0.42857143,10.857142,27.571428,115.71429,340.42856,460.0,517.7143,883.4286,1120.0,1469.8572,2186.1428,2393.5715,3189.1428
ZZZAsia,Asia,MIN_WEEK,9.0,2164.0,6.0,218.0,475.0,1179.0,867.0,1540.0,2897.0,6744.0,9237.0,10827.0,11320.0,10789.0,13737.0,15784.0,20221.0
ZZZOceania,Oceania,MIN_WEEK,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,58.0,60.0,203.0,30.0,28.0,8.0,8.0,7.0,9.0,0.0
ZZZAmerica,America,MIN_WEEK,0.0,0.0,0.0,0.0,1.0,26.0,89.0,1519.0,11662.0,23559.0,32897.0,31496.0,33166.0,32239.0,35409.0,32449.0,46781.0
ZZZEurope,Europe,MIN_WEEK,0.0,0.0,0.0,0.0,78.0,517.0,2776.0,10663.0,23314.0,28904.0,25862.0,19026.0,9442.0,11926.0,10660.0,8775.0,6336.0
ZZZAfrica,Africa,MIN_WEEK,0.0,0.0,0.0,0.0,0.0,0.0,8.0,61.0,197.0,289.0,419.0,624.0,827.0,1159.0,1586.0,2078.0,2745.0